Booking_ID,Customer_ID,Bus_ID,Route_ID,Booking_Date,Travel_Date,Seat_Number,Fare_Amount,Booking_Status
11514,378,200,309,2026-07-06,2026-07-07,30,1056.35,Confirmed
6042,253,201,304,2025-10-16,2025-10-18,26,1647.72,Confirmed
136,224,201,305,2025-01-01,2025-01-06,22,981.22,Confirmed
4784,194,202,307,2025-08-23,2025-08-26,36,718.65,Confirmed
11653,228,209,308,2026-07-08,2026-07-13,8,1084.04,Confirmed
7008,378,205,305,2025-12-10,2025-12-13,2,965.32,Confirmed
6444,286,205,300,2025-10-31,2025-11-07,1,270.38,Cancelled
5776,378,205,310,10-06-2025,10-06-2025,25,482.46,Confirmed
6561,278,207,304,2025-11-02,2025-11-12,18,978.52,Confirmed
3911,308,205,300,2025-07-05,2025-07-08,40,276.93,Confirmed
10680,186,203,301,2026-05-23,2026-05-27,28,859.87,Confirmed
10939,293,202,300,2026-06-07,2026-06-08,31,344.42,Confirmed
6070,320,208,310,2025-10-16,2025-10-20,32,486.07,Confirmed
2535,296,210,310,2025-05-01,2025-05-08,39,642.29,Confirmed
1003,359,200,304,2025-02-21,2025-02-26,20,1159.11,Confirmed
5602,379,205,305,2025-09-30,2025-09-30,20,839.64,Confirmed
4793,354,202,307,2025-08-24,2025-08-26,12,729.84,Confirmed
9097,395,205,302,2026-03-17,2026-03-21,39,531.62,Confirmed
9600,334,208,304,2026-04-05,2026-04-08,18,992.9,Confirmed
10134,255,205,307,2026-04-30,2026-05-02,18,1011.57,Confirmed
358,248,202,302,2025-01-17,2025-01-21,46,455.83,Confirmed
10559,369,202,310,2026-05-17,2026-05-21,40,468.71,Confirmed
8047,269,208,309,2026-01-29,2026-01-31,6,1049.74,Confirmed
11246,323,209,302,2026-06-11,2026-06-25,30,718.82,Pending
7517,198,209,307,2026-01-04,2026-01-05,16,863.92,confirmed
451,282,203,309,2025-01-24,2025-01-27,37,1042.43,Confirmed
2389,351,202,302,2025-05-02,2025-05-04,7,628.64,Pending
829,262,203,303,2025-02-01,2025-02-15,24,1211.98,Confirmed
9103,300,205,302,03-19-2026,03-21-2026,40,536.4,Confirmed
6513,275,209,308,2025-11-08,2025-11-09,36,,Confirmed
7285,365,205,301,2025-12-20,2025-12-25,10,583.49,Confirmed
6885,393,210,303,2025-12-05,2025-12-06,14,1213.7,Pending
5642,313,201,308,2025-10-01,2025-10-02,32,1337.88,Confirmed
8392,328,210,301,2026-02-03,2026-02-17,17,737.6,Confirmed
9286,313,202,304,2026-03-26,2026-03-27,16,1153.43,Confirmed
8019,326,203,307,2026-01-26,2026-01-30,4,1005.11,Confirmed
938,118,208,307,2025-02-13,2025-02-20,10,715.89,cOnFiRmEd
6631,183,208,308,2025-11-12,2025-11-14,36,886.57,Confirmed
4503,186,209,307,2025-08-07,2025-08-11,14,880.57,Confirmed
8820,388,207,305,2026-03-08,2026-03-10,9,-250.0,Confirmed
150,389,204,303,2025-01-08,2025-01-08,3,1069.98,Confirmed
11032,233,208,302,2026-06-05,2026-06-11,16,541.37,Confirmed
2240,245,208,305,2025-04-20,2025-04-24,50,822.18,Confirmed
8257,396,203,300,2026-02-07,2026-02-09,25,433.54,Confirmed
4036,221,204,302,2025-07-05,2025-07-15,36,601.2,Confirmed
7896,227,209,310,2026-01-21,2026-01-24,40,621.9,Confirmed
1596,228,208,302,2025-03-16,2025-03-26,31,455.97,Pending
1484,383,208,301,2025-03-20,2025-03-23,39,667.58,Pending
2392,201,202,302,2025-05-03,2025-05-04,40,,Confirmed
1278,325,205,301,2025-03-15,2025-03-16,32,668.92,Pending
7973,187,204,309,26/01/2026,29/01/2026,29,1057.24,Confirmed
5219,185,208,307,2025-09-08,2025-09-15,49,,Confirmed
305,392,203,302,2025-01-15,2025-01-18,31,691.09,Confirmed
9181,369,207,300,2026-03-19,2026-03-23,24,421.32,Confirmed
9446,195,208,310,2026-03-31,2026-04-01,37,384.97,Confirmed
2484,291,210,301,2025-05-01,2025-05-07,39,871.85,Pending
3170,360,210,310,2025-06-03,2025-06-04,3,646.43,Confirmed
5139,291,203,301,2025-09-07,2025-09-11,20,732.61,Confirmed
8417,287,210,301,2026-02-12,2026-02-17,25,727.53,confirmed
2089,181,209,304,2025-04-12,2025-04-19,24,,Pending
4611,225,205,306,2025-08-11,2025-08-17,50,502.21,Confirmed
1218,249,202,303,2025-03-08,2025-03-06,31,915.96,Confirmed
9610,390,208,304,2026-03-25,2026-04-08,46,999.3,Confirmed
3134,367,207,303,2025-05-27,2025-06-02,32,1262.73,Confirmed
3756,337,204,309,06-27-2025,07-01-2025,35,1057.59,Confirmed
10640,256,208,310,2026-05-21,2026-05-26,5,480.67,Confirmed
4266,378,203,310,2025-07-27,2025-07-28,29,556.86,Confirmed
2513,368,210,301,2025-04-27,2025-05-07,17,883.98,Confirmed
5307,327,209,303,2025-09-06,2025-09-20,34,1221.67,Confirmed
6502,312,209,308,2025-11-03,2025-11-09,14,1033.36,confirmed
397,371,201,305,2025-01-20,2025-01-24,13,1117.95,Confirmed
71,257,208,300,2025-01-01,2025-01-04,22,330.74,Confirmed
1985,206,201,310,2025-04-04,2025-04-14,11,547.31,Confirmed
519,312,203,300,2025-01-29,2025-01-30,4,427.1,Confirmed
6307,241,203,305,2025-10-26,2025-10-31,17,1411.93,Confirmed
3434,215,203,308,2025-06-12,2025-06-16,8,1297.89,Confirmed
6411,332,201,304,2025-11-03,2025-11-05,2,977.04,Confirmed
5050,200,205,308,2025-09-05,2025-09-07,10,1045.77,Confirmed
1651,247,205,309,2025-03-16,2025-03-30,47,1035.23,Confirmed
9237,250,202,300,2026-03-23,2026-03-26,45,287.81,Confirmed
9157,353,202,303,2026-03-22,2026-03-22,9,1048.59,Confirmed
9956,307,210,309,2026-04-20,2026-04-23,13,1060.01,Confirmed
1040,397,205,305,2025-02-24,2025-02-27,34,840.33,Confirmed
7734,259,208,302,2026-01-18,2026-01-18,10,512.23,Confirmed
7837,288,201,300,2026-01-19,2026-01-23,29,500.97,Confirmed
1154,340,210,308,2025-03-03,2025-03-08,14,1233.13,pending
6241,258,210,302,2025-10-13,2025-10-27,3,750.28,Confirmed
4973,277,206,308,2025-08-29,2025-09-01,7,1070.7,Confirmed
11437,221,201,306,2026-07-01,2026-07-04,29,672.21,Cancelled
1211,337,202,303,2025-03-07,2025-03-13,43,918.92,Cancelled
8415,193,210,301,2026-02-16,2026-02-17,28,721.98,Confirmed
9602,396,208,304,2026-04-01,2026-04-08,25,1003.76,Confirmed
3373,275,208,300,2025-05-29,2025-06-12,31,319.73,Confirmed
7256,249,205,301,2025-12-23,2025-12-25,18,568.0,Confirmed
7963,260,202,303,2026-01-24,2026-01-26,13,-250.0,Confirmed
48,264,208,300,2025-01-02,2025-01-04,12,325.53,Cancelled
10074,267,206,303,2026-04-27,2026-05-01,18,1458.76,Confirmed
7945,211,202,303,2026-01-25,2026-01-26,38,908.76,Confirmed
3955,277,208,307,2025-07-07,2025-07-10,46,716.72,Confirmed
11091,309,205,310,2026-06-10,2026-06-12,39,555.89,Confirmed
222,330,207,310,2025-01-08,2025-01-11,24,635.36,Confirmed
3001,344,202,301,2025-05-25,2025-05-29,42,678.13,Confirmed
9304,332,202,304,2026-03-25,2026-03-27,3,1133.88,confirmed
7640,223,205,310,2026-01-12,2026-01-14,4,390.93,Confirmed
9266,203,202,300,2026-03-24,2026-03-26,49,265.37,Cancelled
2933,251,205,304,2025-05-12,2025-05-26,38,1199.27,Confirmed
7403,388,205,306,2025-12-28,2026-01-01,16,410.46,Confirmed
6463,213,205,300,2025-10-28,2025-11-07,4,257.67,Confirmed
8125,227,208,308,2026-02-02,2026-02-03,37,930.24,Confirmed
8399,363,210,301,2026-02-13,2026-02-17,6,729.22,Confirmed
5401,365,200,308,2025-09-19,2025-09-24,11,1071.39,confirmed
2222,226,208,305,2025-04-14,2025-04-24,5,838.38,Pending
10914,259,202,300,2026-06-07,2026-06-08,24,344.79,Confirmed
841,190,203,303,2025-02-10,2025-02-15,23,1200.04,Confirmed
1403,282,208,307,2025-03-18,2025-03-20,26,727.89,Confirmed
11209,250,201,302,2026-06-24,2026-06-24,31,726.69,Confirmed
10213,281,204,308,2026-05-04,2026-05-06,26,1295.61,Confirmed
361,289,202,302,2025-01-20,2025-01-21,26,463.59,Confirmed
5650,380,201,308,2025-09-30,2025-10-02,43,1329.49,Confirmed
9979,199,202,308,2026-04-18,2026-04-24,28,1043.75,Confirmed
7442,368,209,303,2025-12-19,2026-01-02,8,1203.32,cOnFiRmEd
6859,317,208,301,2025-11-30,2025-12-01,33,588.34,Confirmed
7678,369,207,301,2026-01-01,2026-01-15,1,729.85,Confirmed
7417,263,205,306,2025-12-30,2026-01-01,47,439.71,Confirmed
2110,319,201,308,2025-04-18,2025-04-20,22,1222.25,Confirmed
1531,267,201,301,2025-03-25,2025-03-25,14,722.21,Confirmed
773,152,205,303,2025-02-09,2025-02-13,28,908.43,Pending
9387,200,209,306,2026-03-17,2026-03-31,9,572.9,Confirmed
6393,351,201,304,2025-10-30,2025-11-05,20,961.81,Confirmed
6248,239,210,302,2025-10-13,2025-10-27,39,759.7,Confirmed
5383,196,202,301,2025-09-13,2025-09-23,49,581.07,Confirmed
2352,220,205,305,2025-04-29,2025-05-03,31,1147.71,Pending
6245,327,210,302,2025-10-26,2025-10-27,27,744.96,Confirmed
20,164,209,306,2025-01-01,2025-01-01,42,584.66,Confirmed
5325,397,209,303,2025-09-17,2025-09-20,29,1204.48,Confirmed
5298,242,209,303,2025-09-20,2025-09-20,17,1219.75,Pending
2120,339,201,308,2025-04-17,2025-04-20,24,1216.29,Pending
1198,276,202,303,2025-03-09,2025-03-13,19,900.47,Confirmed
4994,382,205,310,2025-09-02,2025-09-02,3,395.51,Confirmed
6699,351,204,309,2025-11-15,2025-11-17,34,890.81,Confirmed
1454,234,202,309,2025-03-21,2025-03-21,10,1034.36,cOnFiRmEd
7018,320,205,305,2025-12-11,2025-12-13,38,960.71,Confirmed
1356,362,201,307,2025-03-15,2025-03-19,31,877.45,Confirmed
6476,192,206,305,2025-11-02,2025-11-08,27,950.42,Confirmed
9487,218,205,308,2026-03-31,2026-04-02,36,925.24,Pending
322,322,203,302,01-15-2025,01-20-2025,13,609.89,Confirmed
6225,233,200,306,10-12-2025,10-26-2025,35,812.96,Confirmed
8995,287,208,309,2026-03-11,2026-03-16,46,916.97,Confirmed
10319,313,208,303,2026-05-09,2026-05-13,33,1094.86,Confirmed
3890,245,210,305,2025-07-05,2025-07-07,9,969.95,Pending
11124,193,206,306,2026-06-13,2026-06-14,27,786.36,Confirmed
6085,226,208,310,2025-10-13,2025-10-20,31,486.52,Pending
8746,191,204,310,2026-03-06,2026-03-08,15,615.99,Confirmed
11428,317,209,308,2026-06-26,2026-07-03,9,1236.64,Confirmed
8433,247,209,300,2026-02-14,2026-02-19,29,430.51,Confirmed
5991,196,210,309,2025-10-16,2025-10-16,13,1318.07,Confirmed
10684,363,203,301,2026-05-23,2026-05-27,8,882.26,Confirmed
2146,275,208,301,2025-04-17,2025-04-21,42,-250.0,Confirmed
8728,271,203,307,2026-03-02,2026-02-27,18,1016.02,Confirmed
8002,277,204,309,2026-01-27,2026-01-29,28,1063.34,Cancelled
9480,235,205,308,2026-03-29,2026-04-02,8,913.24,Confirmed
11198,310,201,309,2026-06-19,2026-06-23,34,1263.49,Confirmed
7882,231,209,310,2026-01-22,2026-01-24,17,632.42,Confirmed
2953,231,207,304,2025-05-26,2025-05-27,12,1377.06,Confirmed
8388,385,210,301,2026-02-13,2026-02-17,30,710.59,Confirmed
10725,392,207,308,2026-05-23,2026-05-29,24,1470.97,Confirmed
7064,240,203,307,2025-12-12,2025-12-16,3,885.09,Confirmed
2022,210,200,309,2025-04-11,2025-04-15,9,1063.39,cOnFiRmEd
11483,379,201,309,2026-06-29,2026-07-05,20,1224.65,Confirmed
748,292,205,303,2025-02-08,2025-02-13,1,905.0,Confirmed
10913,185,202,300,2026-06-03,2026-06-08,23,326.12,cOnFiRmEd
1409,278,208,307,2025-03-13,2025-03-20,47,730.8,Confirmed
10592,343,205,305,2026-05-18,2026-05-22,12,1150.25,Confirmed
8143,237,208,308,2026-02-01,2026-02-03,35,912.03,Confirmed
10289,241,201,302,2026-04-26,2026-05-10,27,842.75,Confirmed
